ensembl_gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	time	external_gene_name	description	chromosome_name	start_position	end_position
17	ENSDARG00000007289	25.2175263244049	0.840009257001517	0.21665717322303	3.87713568171038	0.000105693422453294	0.0222327324360532	10	metrnlb	meteorin like, glial cell differentiation regulator b [Source:ZFIN;Acc:ZDB-GENE-121214-223]	1	57371447	57382010
18	ENSDARG00000007377	2036.41442051596	1.02396367225675	0.28119362738975	3.64148960899985	0.000271065068043123	0.0412416096170292	10	odc1	ornithine decarboxylase 1 [Source:ZFIN;Acc:ZDB-GENE-010816-1]	17	51743908	51760243
19	ENSDARG00000008155	67.4554152960042	0.432440036463947	0.113943117747092	3.79522734689242	0.000147508223509669	0.027840661692003	10	sms	spermine synthase [Source:ZFIN;Acc:ZDB-GENE-040625-150]	21	25399133	25416391
20	ENSDARG00000008660	26.3332427335967	0.579530929783238	0.158504671848486	3.65623879110144	0.000255942953751135	0.0396222698514959	10	coro1b	coronin, actin binding protein, 1B [Source:ZFIN;Acc:ZDB-GENE-040123-3]	7	18617982	18656069
21	ENSDARG00000010032	10.2124300405241	0.894139066410994	0.23973043078321	3.72976873853604	0.000191655596420102	0.0333595767407184	10	cmtm7	CKLF-like MARVEL transmembrane domain containing 7 [Source:ZFIN;Acc:ZDB-GENE-041111-174]	16	41495670	41503925
22	ENSDARG00000010144	39.8382457660724	0.545365230462518	0.167506842091142	3.25577883060907	0.00113081801065043	0.096473130345149	10	plppr3a	phospholipid phosphatase related 3a [Source:ZFIN;Acc:ZDB-GENE-070912-555]	2	26179096	26209425
23	ENSDARG00000010420	9.13786662597502	1.60496502157947	0.402471464562471	3.98777345202407	6.66963074095395e-05	0.0181968658116561	10	ndrg1b	N-myc downstream regulated 1b [Source:ZFIN;Acc:ZDB-GENE-040426-1648]	16	31511739	31517227
24	ENSDARG00000010791	217.907315278819	-0.296022457136033	0.0779042546260761	-3.7998240090593	0.000144798882246764	0.027840661692003	10	dla	deltaA [Source:ZFIN;Acc:ZDB-GENE-980526-29]	1	54013457	54026352
25	ENSDARG00000011122	45.527021879018	0.667305049434322	0.143436882511323	4.65225566640188	3.28323652823042e-06	0.00180945731543835	10	pptc7a	PTC7 protein phosphatase homolog a [Source:ZFIN;Acc:ZDB-GENE-041114-74]	8	4368534	4402181
26	ENSDARG00000011370	13.3884269368725	0.754403117237047	0.229628230533301	3.28532391459439	0.0010186519130345	0.0914333271673428	10	fyna	FYN proto-oncogene, Src family tyrosine kinase a [Source:ZFIN;Acc:ZDB-GENE-030903-5]	17	15502964	15528597
27	ENSDARG00000011870	3.50628733940278	1.83155620980808	0.465364062388663	3.93574914316956	8.29375718408689e-05	0.0207766157240635	10	sp8a	sp8 transcription factor a [Source:ZFIN;Acc:ZDB-GENE-030131-9849]	19	2315208	2318391
28	ENSDARG00000012625	54.5566865337292	0.774992956744808	0.231026315212118	3.35456571704069	0.000794896695950301	0.078509581912568	10	prkag2a	protein kinase, AMP-activated, gamma 2 non-catalytic subunit a [Source:ZFIN;Acc:ZDB-GENE-060929-160]	24	28252520	28381437
29	ENSDARG00000012932	69.2243094038354	0.516271716485179	0.13288677039806	3.88504976784893	0.0001023089282106	0.0222327324360532	10	mat2b	methionine adenosyltransferase II, beta [Source:ZFIN;Acc:ZDB-GENE-030131-786]	21	32061725	32082149
30	ENSDARG00000013379	486.225176261331	-0.245476433512308	0.0668426194513426	-3.67245382552669	0.000240232568159846	0.0378227004332116	10	ppp6r3	protein phosphatase 6, regulatory subunit 3 [Source:ZFIN;Acc:ZDB-GENE-030131-3251]	25	10602193	10630592
31	ENSDARG00000013926	26.6400861925657	2.51975971142804	0.254521227185887	9.89999828025251	4.16282202156793e-23	5.73553618131629e-19	10	slc16a9a	solute carrier family 16, member 9a [Source:ZFIN;Acc:ZDB-GENE-040426-1364]	17	20653773	20666616
32	ENSDARG00000014068	24.9807951443521	0.633187821285918	0.191251446094156	3.31076096007238	0.000930426519840407	0.0850204359120922	10	pgam1b	phosphoglycerate mutase 1b [Source:ZFIN;Acc:ZDB-GENE-030131-5376]	1	54707667	54718863
33	ENSDARG00000014915	79.8189792836518	0.60617480726079	0.15615294893107	3.88192993734862	0.000103630737660196	0.0222327324360532	10	ndufab1b	NADH:ubiquinone oxidoreductase subunit AB1b [Source:ZFIN;Acc:ZDB-GENE-030131-4437]	3	35535121	35541381
34	ENSDARG00000015349	14.974396825054	1.03208664378373	0.261526954376979	3.94638727102687	7.93392497244225e-05	0.0204447246991286	10	mfge8a	milk fat globule-EGF factor 8 protein a [Source:ZFIN;Acc:ZDB-GENE-050327-9]	7	48788147	48805181
35	ENSDARG00000015546	162.830084401156	0.379803161682867	0.107659373036048	3.52782252926268	0.000418992970138399	0.0527204122608846	10	alpl	alkaline phosphatase, biomineralization associated [Source:ZFIN;Acc:ZDB-GENE-040420-1]	11	27968834	28010171
36	ENSDARG00000016233	26.9854387688656	0.602819112474357	0.156614840138414	3.84905486569212	0.000118574449047693	0.0245671993831445	10	sdr16c5a	short chain dehydrogenase/reductase family 16C, member 5a [Source:ZFIN;Acc:ZDB-GENE-040426-2049]	2	11483072	11504778
37	ENSDARG00000016253	64.0989307364145	0.640856506730765	0.156575221645858	4.0929624751243	4.25896665330885e-05	0.0128013255828894	10	ralab	v-ral simian leukemia viral oncogene homolog Ab (ras related) [Source:ZFIN;Acc:ZDB-GENE-041114-195]	2	21608352	21618629
38	ENSDARG00000016375	137.330328281742	0.695880765177425	0.120174332040494	5.79059399259189	7.01379344604656e-09	1.38051494428042e-05	10	asns	asparagine synthetase [Source:ZFIN;Acc:ZDB-GENE-040426-1091]	19	25656812	25678002
39	ENSDARG00000016477	244.051089859663	-0.448585766767996	0.119054708874002	-3.7678960455293	0.000164629227775565	0.0298455460564702	10	eif4a2	eukaryotic translation initiation factor 4A, isoform 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2802]	2	7715810	7727248
40	ENSDARG00000017590	16.1716819914446	0.753445303983149	0.209672004229538	3.59344733099568	0.000326331636348081	0.0458819647773544	10	nit2	nitrilase family, member 2 [Source:ZFIN;Acc:ZDB-GENE-050522-65]	6	37431169	37441520
41	ENSDARG00000017772	226.10578886359	0.915723132917	0.216122963652248	4.23704689886837	2.26478843290072e-05	0.00800109103295027	10	mdh1aa	malate dehydrogenase 1Aa, NAD (soluble) [Source:ZFIN;Acc:ZDB-GENE-040204-1]	1	50968908	50990889
42	ENSDARG00000018048	7.68056947969954	1.53905253379097	0.386439741740807	3.98264559141344	6.81523486916128e-05	0.0184118247112361	10	zgc:171704	zgc:171704 [Source:ZFIN;Acc:ZDB-GENE-070820-16]	16	28792158	28796865
43	ENSDARG00000018272	412.405241137287	-0.254669998992466	0.0709451691721998	-3.58967357417	0.00033109230797165	0.0463125869972934	10	wdr33	WD repeat domain 33 [Source:ZFIN;Acc:ZDB-GENE-040924-3]	2	5410432	5443745
44	ENSDARG00000018491	53.7451809419785	0.458500712602257	0.12936427020244	3.54426080620837	0.000393715571095178	0.0509353346342663	10	pdia4	protein disulfide isomerase family A, member 4 [Source:ZFIN;Acc:ZDB-GENE-030131-5493]	24	17334678	17341458
45	ENSDARG00000018569	9.74040149725438	0.857876054695312	0.257947568267536	3.32577686410111	0.000881724836432839	0.082362066416079	10	tnfrsf1a	tumor necrosis factor receptor superfamily, member 1a [Source:ZFIN;Acc:ZDB-GENE-040426-2252]	16	17060758	17072561
46	ENSDARG00000019062	19.3960283671724	1.10017879209679	0.233711755260794	4.7074174376429	2.5087483646783e-06	0.0014455007464112	10	arpc5b	actin related protein 2/3 complex, subunit 5B [Source:ZFIN;Acc:ZDB-GENE-040120-7]	20	34151670	34155608
47	ENSDARG00000019236	49.7163688725319	0.598540752427665	0.178536143466882	3.352490654301	0.000800879453005869	0.0785770882962961	10	gsr	glutathione reductase [Source:ZFIN;Acc:ZDB-GENE-050522-116]	14	38852969	38873145
48	ENSDARG00000019541	89.0221023713639	0.436419573365042	0.117980906287432	3.69906951131406	0.000216391335655965	0.0365820837137164	10	gpt2l	glutamic pyruvate transaminase (alanine aminotransferase) 2, like [Source:ZFIN;Acc:ZDB-GENE-050302-11]	2	3533117	3573000
49	ENSDARG00000019613	52.0488596019885	0.569924247913962	0.133302694349299	4.27541431698721	1.90782165296372e-05	0.00691735966698266	10	ip6k2b	inositol hexakisphosphate kinase 2b [Source:ZFIN;Acc:ZDB-GENE-040718-85]	6	40089743	40162742
50	ENSDARG00000019636	51.0802476773598	0.47882051214528	0.134102358197192	3.57055997062478	0.000356218883106606	0.0483545199156928	10	yif1a	Yip1 interacting factor homolog A (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-030131-6922]	14	30753666	30759503
51	ENSDARG00000019856	38.1765669486153	0.621543385781318	0.159916756963428	3.88666827406624	0.000101629484619595	0.0222327324360532	10	atp1a1b	ATPase Na+/K+ transporting subunit alpha 1b [Source:ZFIN;Acc:ZDB-GENE-001212-5]	9	35901554	35922201
52	ENSDARG00000019949	283.162886931367	-0.587415853840142	0.156147581192647	-3.76192733408671	0.000168609039575845	0.0301700694451428	10	serpinh1b	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1b [Source:ZFIN;Acc:ZDB-GENE-990415-93]	15	29382454	29388012
53	ENSDARG00000019963	48.6928901540867	0.838334390311498	0.241206797903746	3.4755835971341	0.000509743092227588	0.0613383434472638	10	sfxn1	sideroflexin 1 [Source:ZFIN;Acc:ZDB-GENE-040801-45]	14	49078606	49110280
54	ENSDARG00000019998	212.882993793128	0.534745712832839	0.161276949294368	3.31569833861876	0.000914144470428708	0.0842480435690083	10	slc30a7	solute carrier family 30 (zinc transporter), member 7 [Source:ZFIN;Acc:ZDB-GENE-030131-5650]	22	16123090	16154771
55	ENSDARG00000020086	31.2918041714654	-0.841399585407822	0.228245456602473	-3.68638043417117	0.000227466236830223	0.0377593953138171	10	nuak1a	NUAK family, SNF1-like kinase, 1a [Source:ZFIN;Acc:ZDB-GENE-041210-122]	4	14360372	14372843
56	ENSDARG00000020164	257.686666610836	-0.289207908933755	0.0834966416102855	-3.46370708277839	0.000532786328139144	0.0626971367397834	10	efnb2a	ephrin-B2a [Source:ZFIN;Acc:ZDB-GENE-990415-67]	9	26103814	26127305
57	ENSDARG00000020228	407.791197359682	-0.254438167948255	0.0783226580783676	-3.24858954216889	0.00115978699524424	0.0977342215319577	10	usf2	upstream transcription factor 2, c-fos interacting [Source:ZFIN;Acc:ZDB-GENE-030131-8475]	19	10558535	10577420
58	ENSDARG00000020448	112.40688139608	0.772740871012309	0.204347158511416	3.78151023308278	0.000155879813188681	0.028779599884848	10	adi1	acireductone dioxygenase 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2799]	17	51224421	51229737
59	ENSDARG00000020645	335.964707555728	0.588513285645541	0.143693032568033	4.09562854320653	4.21024538375243e-05	0.0128013255828894	10	slc7a3a	solute carrier family 7 (cationic amino acid transporter, y+ system), member 3a [Source:ZFIN;Acc:ZDB-GENE-041114-206]	21	30502002	30537411
60	ENSDARG00000020764	15.834620408751	0.739748350919765	0.201509659079418	3.67103172274347	0.000241573351583875	0.0378227004332116	10	slmapb	sarcolemma associated protein b [Source:ZFIN;Acc:ZDB-GENE-040426-809]	23	19590006	19604413
61	ENSDARG00000020929	12.2760591967735	0.829027531260498	0.246922104180708	3.3574455960969	0.000786662227711096	0.078509581912568	10	fam49ba	family with sequence similarity 49 member Ba [Source:ZFIN;Acc:ZDB-GENE-030131-9537]	2	32215272	32262287
62	ENSDARG00000021433	22.7968649195247	0.705348351995505	0.176463350761379	3.99713792666958	6.41129482948861e-05	0.0176669640321388	10	asmtl	acetylserotonin O-methyltransferase-like [Source:ZFIN;Acc:ZDB-GENE-030131-2854]	9	34872733	34882516
63	ENSDARG00000022280	576.613841765372	-0.255521271655099	0.0707267545265042	-3.61279509240517	0.000302914073248032	0.0437020953006428	10	brd2a	bromodomain containing 2a [Source:ZFIN;Acc:ZDB-GENE-990415-248]	19	7152966	7170674
64	ENSDARG00000022631	3.51654834634391	-1.33648552999049	0.401527337741399	-3.32850444880851	0.000873136104798752	0.082362066416079	10	cyp2p9	cytochrome P450, family 2, subfamily P, polypeptide 9 [Source:ZFIN;Acc:ZDB-GENE-040120-2]	20	25581627	25584869
65	ENSDARG00000022845	18.2230811274587	0.81054899641081	0.21340216247561	3.79822297491221	0.000145737192501259	0.027840661692003	10	lias	lipoic acid synthetase [Source:ZFIN;Acc:ZDB-GENE-040426-1528]	1	23274710	23283468
66	ENSDARG00000023963	82.6164870082364	0.545257723900006	0.161319917678959	3.37997769739206	0.000724917119436857	0.0756659702394016	10	tpm4a	tropomyosin 4a [Source:ZFIN;Acc:ZDB-GENE-040426-2185]	22	15577827	15602760
67	ENSDARG00000024488	874.916932526436	-0.331746731985034	0.0991740857626523	-3.34509493517273	0.000822544104104572	0.0793202060861653	10	top2a	DNA topoisomerase II alpha [Source:ZFIN;Acc:ZDB-GENE-030131-2453]	12	10706772	10740236
68	ENSDARG00000024540	40.0128698523325	0.999249271401569	0.201759576543411	4.95267331802002	7.32008077878618e-07	0.000530821436684821	10	tspan36	tetraspanin 36 [Source:ZFIN;Acc:ZDB-GENE-040718-248]	8	29726620	29734951
69	ENSDARG00000024746	32.4941811838691	-1.73881335996888	0.19851128623547	-8.75926700664431	1.96524103869313e-18	1.80513940207426e-14	10	hsp90aa1.2	heat shock protein 90, alpha (cytosolic), class A member 1, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-031001-3]	20	53967350	53981626
70	ENSDARG00000025071	228.030570088754	-0.263985418451451	0.0771086211287591	-3.42355257540707	0.00061808294268514	0.067586879240602	10	brd8	bromodomain containing 8 [Source:ZFIN;Acc:ZDB-GENE-030722-10]	14	7697694	7740058
71	ENSDARG00000025824	36.4952519150063	-0.484622927673092	0.134020481925126	-3.61603630065917	0.000299148444025074	0.0436140568686526	10	dmtf1	cyclin D binding myb-like transcription factor 1 [Source:ZFIN;Acc:ZDB-GENE-040718-413]	4	9652216	9667410
72	ENSDARG00000025859	77.985490532412	0.93537187233794	0.22459123039336	4.16477469177975	3.11660187742258e-05	0.0101036566275596	10	lmf2b	lipase maturation factor 2b [Source:ZFIN;Acc:ZDB-GENE-070206-11]	4	9478500	9502846
73	ENSDARG00000025948	57.4525554228435	0.421682941003116	0.110622553209723	3.81190750681439	0.00013789848088663	0.0271423609950855	10	mlh1	mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli) [Source:ZFIN;Acc:ZDB-GENE-040426-1600]	13	42602406	42617639
74	ENSDARG00000026109	29.803821290237	0.734561862286921	0.220786840925309	3.32701830964383	0.000877806055650168	0.082362066416079	10	slc48a1b	solute carrier family 48 (heme transporter), member 1b [Source:ZFIN;Acc:ZDB-GENE-030131-8226]	6	38896158	38902498
75	ENSDARG00000026225	806.780190339102	-0.274179460739754	0.0662635700319254	-4.13771036796925	3.50788781604866e-05	0.0110920530681286	10	nsd2	nuclear receptor binding SET domain protein 2 [Source:ZFIN;Acc:ZDB-GENE-030131-2581]	13	12993851	13030851
76	ENSDARG00000026842	866.733652788807	-0.238527261503451	0.0713005221335008	-3.34537888876662	0.000821702365277096	0.0793202060861653	10	acin1b	apoptotic chromatin condensation inducer 1b [Source:ZFIN;Acc:ZDB-GENE-030826-12]	7	24069421	24097070
77	ENSDARG00000027187	138.041591636758	-0.270290562356843	0.0815127887945533	-3.31592828995325	0.000913392631073227	0.0842480435690083	10	kat8	K(lysine) acetyltransferase 8 [Source:ZFIN;Acc:ZDB-GENE-030131-7510]	3	32681274	32689328
78	ENSDARG00000027572	9.93672689881515	1.29980354308302	0.330473909747944	3.93315025707897	8.3839792375603e-05	0.0208134172856047	10	as3mt	arsenite methyltransferase [Source:ZFIN;Acc:ZDB-GENE-060312-15]	1	31706668	31722875
79	ENSDARG00000027582	40.6028923209349	0.687460562435797	0.198321475259536	3.46639496068765	0.000527487795355336	0.0626971367397834	10	angptl7	angiopoietin-like 7 [Source:ZFIN;Acc:ZDB-GENE-041010-175]	8	46217861	46221296
80	ENSDARG00000028106	36.6883651130078	0.586136072968909	0.179267425355174	3.26961840282821	0.00107692656230504	0.0942088519075483	10	glrx	glutaredoxin (thioltransferase) [Source:ZFIN;Acc:ZDB-GENE-041010-11]	21	11776328	11782093
81	ENSDARG00000028889	25.5590617743332	0.775257633145786	0.183894101947752	4.21578302367769	2.48912998808941e-05	0.00857380824397398	10	ndufb10	NADH:ubiquinone oxidoreductase subunit B10 [Source:ZFIN;Acc:ZDB-GENE-040426-1691]	3	18405136	18410968
82	ENSDARG00000029353	125.289569200103	0.639763646756613	0.166413709299824	3.84441672172552	0.00012083951174453	0.0248496536241213	10	serpine2	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2 [Source:ZFIN;Acc:ZDB-GENE-040426-848]	15	43241915	43284021
83	ENSDARG00000029479	23.7701135348916	0.56331761890289	0.170168408750666	3.31035368455653	0.000931781522915222	0.0850204359120922	10	zgc:86609	zgc:86609 [Source:ZFIN;Acc:ZDB-GENE-050102-7]	8	8686130	8698607
84	ENSDARG00000029581	95.8616929145886	0.589591783561442	0.109138346842333	5.40224220560348	6.58130023903816e-08	8.63591949461597e-05	10	tbc1d7	TBC1 domain family, member 7 [Source:ZFIN;Acc:ZDB-GENE-040426-1747]	20	52825215	52846212
85	ENSDARG00000029856	205.613561653771	0.339948635140705	0.0791304069204894	4.2960556930067	1.73863919801373e-05	0.00647431645141437	10	cnn3b	calponin 3, acidic b [Source:ZFIN;Acc:ZDB-GENE-050522-263]	2	15048410	15075295
86	ENSDARG00000030092	73.1703509084356	0.637276915823709	0.132654022444554	4.80405270854167	1.55485869230669e-06	0.00099641130523728	10	tram2	translocation associated membrane protein 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2024]	20	48116476	48139941
87	ENSDARG00000030440	269.654650374009	-0.66822510516833	0.121180511187485	-5.51429515043456	3.50180508884275e-08	5.07872321200793e-05	10	rsrp1	arginine/serine-rich protein 1 [Source:ZFIN;Acc:ZDB-GENE-060616-210]	13	45468403	45475289
88	ENSDARG00000030972	166.416500608297	-0.568416829692314	0.103368539322799	-5.49893452510982	3.82092968240903e-08	5.26447691642316e-05	10	dnaja1	DnaJ heat shock protein family (Hsp40) member A1 [Source:ZFIN;Acc:ZDB-GENE-030131-2642]	1	45002971	45014434
89	ENSDARG00000031317	78.9669752430024	0.865377050938132	0.203818545412188	4.24582095406507	2.17794500426816e-05	0.00779421461527445	10	ppdpfb	pancreatic progenitor cell differentiation and proliferation factor b [Source:ZFIN;Acc:ZDB-GENE-030131-8247]	23	17427838	17429775
90	ENSDARG00000032083	45.5704670484851	0.647554892703553	0.159518341784153	4.05943846620328	4.91908684095907e-05	0.0145753072031686	10	dpysl2b	dihydropyrimidinase-like 2b [Source:ZFIN;Acc:ZDB-GENE-031105-1]	10	18952271	18992471
91	ENSDARG00000032426	23.2972751210308	0.80591056159762	0.206299931739645	3.9064994098723	9.36428719423262e-05	0.0217129954571065	10	COQ8A (1 of many)	si:dkey-36g24.3 [Source:ZFIN;Acc:ZDB-GENE-030131-5543]	17	6467398	6487813
92	ENSDARG00000033089	10.2194712663528	-0.84817273824333	0.25300832452544	-3.35235111269253	0.000801283270839716	0.0785770882962961	10	CR735102.1		21	38458072	38463146
93	ENSDARG00000033134	50.8027477219456	1.19508784012078	0.173949457536578	6.87031656807256	6.40595867209499e-12	3.45679534781041e-08	10	ndufaf7	NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:ZFIN;Acc:ZDB-GENE-060929-628]	20	3277620	3288089
94	ENSDARG00000033361	28.756634582631	0.765674079747774	0.222936452067805	3.43449477483788	0.000593659517127682	0.0658480787527944	10	asl	argininosuccinate lyase [Source:ZFIN;Acc:ZDB-GENE-040426-1152]	21	31253048	31277336
95	ENSDARG00000033604	79.8197164502573	0.478294406800453	0.132238976698181	3.61689434342872	0.000298158936341314	0.0436140568686526	10	lrpap1	low density lipoprotein receptor-related protein associated protein 1 [Source:ZFIN;Acc:ZDB-GENE-030131-5871]	1	41131481	41141446
96	ENSDARG00000035357	15.5832269378498	0.973965626790339	0.246328622429635	3.95392795682344	7.68785664362524e-05	0.0201758645401654	10	gnb2	guanine nucleotide binding protein (G protein), beta polypeptide 2 [Source:ZFIN;Acc:ZDB-GENE-050320-65]	5	38263240	38297391
97	ENSDARG00000035569	17.9680878445158	0.840469566695196	0.209064579018899	4.02014330040681	5.81627517854658e-05	0.0163401248253077	10	cyp1d1	cytochrome P450, family 1, subfamily D, polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-041114-179]	5	25603761	25621386
98	ENSDARG00000035610	32.253924775095	0.629722665036815	0.18931271127948	3.32636229643958	0.000879874828403896	0.082362066416079	10	zgc:113208	zgc:113208 [Source:ZFIN;Acc:ZDB-GENE-050417-450]	5	22605530	22621417
99	ENSDARG00000036028	122.258744652303	0.653035756879522	0.183599910969665	3.55684135918464	0.000375340660568165	0.0495262651849924	10	arrdc3b	arrestin domain containing 3b [Source:ZFIN;Acc:ZDB-GENE-040912-182]	10	43761480	43771447
100	ENSDARG00000036446	11.6541130742289	0.939434885863783	0.270571526736868	3.47203897318208	0.000516521345055559	0.0618837486276129	10	PRKAR2B	si:ch211-272n13.7 [Source:ZFIN;Acc:ZDB-GENE-160113-22]	25	3475384	3503458
101	ENSDARG00000036685	130.696427817268	-0.371334938943112	0.0837997677288386	-4.43121680414064	9.37028173919176e-06	0.00409087695754609	10	ccnt2a	cyclin T2a [Source:ZFIN;Acc:ZDB-GENE-030131-5779]	9	23234233	23242684
102	ENSDARG00000036967	54.1440049341178	0.734969853251419	0.176419528346219	4.16603456624744	3.09943727234581e-05	0.0101036566275596	10	smox	spermine oxidase [Source:ZFIN;Acc:ZDB-GENE-031201-3]	1	41849152	41865986
103	ENSDARG00000037560	176.034842733774	-0.319468364961686	0.0805050582014583	-3.96830177008553	7.23866342834606e-05	0.0193658844108256	10	mtm1	myotubularin 1 [Source:ZFIN;Acc:ZDB-GENE-051113-128]	7	25825667	25854387
104	ENSDARG00000038000	91.3853088619621	0.74692045342065	0.154648881106897	4.82978245994784	1.3668229599592e-06	0.000904304683016722	10	crls1	cardiolipin synthase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2519]	17	4368859	4386084
105	ENSDARG00000038467	148.162602651823	0.419537141903551	0.0975861867604294	4.29914474405584	1.71458471991481e-05	0.00647220500574967	10	igsf8	immunoglobulin superfamily, member 8 [Source:ZFIN;Acc:ZDB-GENE-040426-2444]	6	58698475	58772272
106	ENSDARG00000038489	20.0782280091189	-0.736251986146337	0.2217033016201	-3.3208886866644	0.000897313174584473	0.0835350062123302	10	b3gnt7	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7 [Source:ZFIN;Acc:ZDB-GENE-021210-4]	22	36656680	36661461
107	ENSDARG00000038785	634.365175450067	-0.322752643409165	0.0934990277551042	-3.45193582391604	0.000556580090271378	0.0639046706979921	10	abcf2a	ATP-binding cassette, sub-family F (GCN20), member 2a [Source:ZFIN;Acc:ZDB-GENE-030131-8714]	2	32505554	32513538
108	ENSDARG00000039020	167.648727207632	-0.332428503411198	0.0986065921564736	-3.37126044152996	0.000748250833760474	0.0767699430984033	10	fbxo5	F-box protein 5 [Source:ZFIN;Acc:ZDB-GENE-030131-4027]	13	46941930	46958802
